Model,Accuracy,Precision,Recall,F1-Score,FPR,FNR,ROC-AUC,Train Time (s),TP,FP,TN,FN,Inference (s/1k)
Random Forest,0.9985760131353086,0.993407677884141,0.9971668581844118,0.9952837184468899,0.0011739853286983175,0.0028331418155882237,0.9999562285532673,1080.9589500427246,100662,668,568334,286,0.0058
XGBoost,0.9978237181879245,0.988088463274397,0.9975829139755121,0.9928129898553725,0.0021335601632331697,0.002417086024487855,0.9999360611301,129.4564073085785,100704,1214,567788,244,0.001
Isolation Forest,0.8390984401821031,0.44879157693228044,0.297261956650949,0.35763830953686265,0.06477305879416945,0.702738043349051,0.8366599912041999,19.471415758132935,30008,36856,532146,70940,0.0172
Autoencoder,0.9069199193969699,0.822494108208394,0.4874687958156675,0.6121397961151159,0.01866425777062295,0.5125312041843325,0.9121374790899937,79.93892788887024,49209,10620,558382,51739,0.0068
